1302,6304,12350,1186,5
1303,8414,3462,3262,4
1304,6517,17886,3160,2
1305,7634,78879,2096,3
1306,6009,60922,3391,5
1307,5982,4065,2838,4
1308,7139,8060,936,5
1309,8305,59469,3066,1
1310,8888,44178,4433,3
1311,7683,475,4121,1
1312,7344,8322,3945,3
1313,8476,7289,4538,5
1314,8523,78939,655,5
1315,8311,74840,1666,1
1316,8339,46765,886,5
1317,8052,11051,1214,2
1318,8626,81596,77,1
1319,6971,77511,81,5
1320,5734,55274,1750,2
1321,6968,67872,4793,4
1322,7467,52230,1729,1
1323,6588,13700,2927,2
1324,7782,28493,1626,1
1325,7328,40656,4418,3
1326,7916,2153,4636,4
1327,7794,60280,339,5
1328,6034,28596,2365,5
1329,7608,70948,4892,5
1330,8476,45511,4538,4
1331,6646,60509,2428,1
1332,6535,8327,895,5
1333,8573,13491,2718,4
1334,7868,6283,3457,2
1335,6241,29156,2263,3
1336,8986,3397,4418,3
1337,6530,16281,3602,3
1338,8540,1647,1494,1
1339,8518,66624,595,3
1340,8484,23964,4365,5
1341,8459,79198,3228,5
1342,8628,34789,1681,5
1343,6587,86253,1112,5
1344,6727,11016,3236,5
1345,6434,44406,2825,4
1346,8977,39977,3781,5
1347,8410,69774,2669,1
1348,7295,52204,3727,2
1349,8874,14076,2169,3
1350,6307,34071,1186,5
1351,8805,69534,1230,4
1352,7975,57106,176,3
1353,6969,86331,1047,4
1354,5872,86853,196,2
1355,6083,22905,4833,5
1356,6433,78291,3234,3
1357,6070,26984,3523,2
1358,6509,68476,3121,1
1359,6375,29849,1836,5
1360,7306,36652,86,2
1361,7628,42404,2372,1
1362,8088,51991,3984,4
1363,7728,62810,4754,1
1364,7368,77385,4394,3
1365,8165,11945,4149,5
1366,6582,68555,1099,1
1367,7441,8500,2970,2
1368,7449,88375,3065,3
1369,8553,75496,1008,4
1370,7294,15532,2214,4
1371,8258,87363,2842,1
1372,6454,49801,1794,2
1373,6126,20709,3672,2
1374,5662,60873,4620,5
1375,7351,24602,565,3
1376,8249,63861,769,5
1377,5680,89403,2641,3
1378,6355,75028,2474,2
1379,6971,18886,81,2
1380,8142,61565,3550,1
1381,5841,89387,3728,3
1382,6582,11705,1099,3
1383,8225,7922,4702,1
1384,8953,45523,4840,4
1385,7173,88997,3630,3
1386,6709,59654,702,5
1387,7765,30990,100,1
1388,8693,17202,1521,5
1389,8198,18987,758,2
1390,8038,31043,4460,3
1391,5966,87552,1318,1
1392,8619,79987,161,2
1393,8349,68080,4912,5
1394,8030,27140,2733,4
1395,8489,1612,252,5
1396,8847,31731,2417,3
1397,7612,14906,239,3
1398,7545,35340,1803,3
1399,7852,10271,70,1
1400,8071,86588,3861,1
1401,8891,2384,3381,3
1402,6958,76887,2906,5
1403,7764,28890,3278,1
1404,8541,53379,1527,4
1405,6454,66915,1794,1
1406,6387,3242,3408,3
1407,8377,21562,2523,4
1408,7656,45009,3120,4
1409,7294,31741,2214,4
1410,5643,58825,1619,1
1411,7321,8976,4010,4
1412,8048,38671,1797,4
1413,7107,14470,2133,3
1414,5662,28580,4620,1
1415,8376,27256,4585,2
1416,6708,67606,2279,1
1417,5913,36322,4310,3
1418,6142,56544,4415,2
1419,8891,60190,3381,4
1420,7321,53660,4010,4
1421,8519,72346,3054,2
1422,8486,77569,3589,2
1423,5825,48778,4740,3
1424,6759,64444,1350,1
1425,7190,13521,2748,2
1426,5980,61778,4793,2
1427,5662,47494,4620,4
1428,8395,14872,366,4
1429,6800,4831,2616,4
1430,6352,81398,738,3
1431,8335,85750,977,5
1432,7041,70332,534,4
1433,5679,46072,1454,2
1434,8213,62987,4656,4
1435,7452,24483,1608,4
1436,7030,9501,2933,4
1437,6347,30719,149,2
1438,6070,65174,3523,2
1439,8629,75978,621,1
1440,8189,76770,366,5
1441,5874,28156,4587,3
1442,7506,85127,3978,5
1443,6302,29432,1717,5
1444,7487,17034,165,2
1445,6290,25792,1450,3
1446,8397,82935,412,5
1447,8825,10547,1506,4
1448,5940,53360,4598,3
1449,8782,23651,695,1
1450,7850,27380,164,4
1451,7849,21139,2007,1
1452,7518,40816,2570,5
1453,5945,54991,2448,3
1454,6348,36739,823,1
1455,8108,55875,1038,1
1456,8295,50550,206,2
1457,8074,71841,3289,1
1458,5809,39527,111,1
1459,7520,37868,4711,1
1460,8298,65599,2072,4
1461,5672,82984,1276,2
1462,7232,44991,3079,1
1463,8179,41504,3582,1
1464,7168,79051,690,1
1465,7123,28491,4876,2
1466,6031,86046,2403,2
1467,6935,85930,4327,5
1468,8449,7462,4885,1
1469,6899,46567,1530,4
1470,7162,61546,2514,5
1471,7132,54526,1784,3
1472,7385,26136,1818,1
1473,7064,2578,965,3
1474,6850,78019,716,5
1475,5668,8498,4805,5
1476,7064,79970,965,2
1477,7799,33851,1774,1
1478,6980,17826,2549,3
1479,8399,2833,563,2
1480,5888,71128,3797,1
1481,7273,72756,2077,4
1482,6355,85138,2474,1
1483,5656,22536,1689,5
1484,6356,38963,2224,1
1485,6573,61032,1292,2
1486,7951,51880,3892,3
1487,8103,59636,158,3
1488,6472,40560,2470,2
1489,8968,62670,1829,2
1490,7056,404,3086,3
1491,5986,33819,3826,3
1492,6246,8698,4513,4
1493,6049,27908,3919,2
1494,5947,38982,2129,1
1495,7409,80640,3125,2
1496,7607,66718,1425,3
1497,8733,34937,1300,1
1498,6839,73439,3758,5
1499,6938,35404,3308,4
1500,8980,59770,2475,5
1501,5642,45930,4567,5
1502,8357,1483,2924,1
1503,6053,25731,1219,4
1504,6301,25726,2446,2
1505,7994,54983,2176,4
1506,8234,34987,169,3
1507,6538,69267,2256,3
1508,6162,70119,3522,1
1509,8466,19554,3965,1
1510,8082,5296,1533,3
1511,6346,76989,3045,5
1512,8774,26528,1765,4
