1,6739,76305,230,1,2020-09-05 16:20
2,7460,81008,1455,4,2020-09-05 16:20
3,6701,7556,1159,2,2020-09-05 16:20
4,8021,36492,3727,2,2020-09-05 16:20
5,6442,11282,4387,5,2020-09-05 16:20
6,5643,36216,1619,1,2020-09-05 16:20
7,7186,48203,2691,5,2020-09-05 16:20
8,6668,7427,2037,3,2020-09-05 16:20
9,8669,51578,4237,4,2020-09-05 16:20
10,8206,77899,4089,1,2020-09-05 16:20
11,7732,31755,3700,5,2020-09-05 16:20
12,8107,32824,4168,5,2020-09-05 16:20
13,8925,5211,4001,4,2020-09-05 16:20
14,5732,66187,2198,4,2020-09-05 16:20
15,6728,839,1956,2,2020-09-05 16:20
16,6370,63643,2657,2,2020-09-05 16:20
17,8150,76537,1299,4,2020-09-05 16:20
18,5709,67374,157,4,2020-09-05 16:20
19,8719,4068,257,4,2020-09-05 16:20
20,5727,2709,2463,2,2020-09-05 16:20
21,7796,72708,3527,5,2020-09-05 16:20
22,6485,87513,2909,4,2020-09-05 16:20
23,7042,41460,574,4,2020-09-05 16:20
24,8904,35404,2612,4,2020-09-05 16:20
25,6029,19629,1884,1,2020-09-05 16:20
26,8189,23923,366,2,2020-09-05 16:20
27,8323,60958,755,3,2020-09-05 16:20
28,8216,64735,621,4,2020-09-05 16:20
29,6212,83962,2328,5,2020-09-05 16:20
30,6573,63393,1292,4,2020-09-05 16:20
31,6914,39822,3569,3,2020-09-05 16:20
32,5755,52698,3188,4,2020-09-05 16:20
33,8460,11223,598,3,2020-09-05 16:20
34,6509,40772,3121,4,2020-09-05 16:20
35,6084,54176,4676,2,2020-09-05 16:20
36,7432,76819,2649,5,2020-09-05 16:20
37,5675,16386,3847,5,2020-09-05 16:20
38,6696,73447,3156,4,2020-09-05 16:20
39,7291,58811,490,2,2020-09-05 16:20
40,7191,89532,2585,4,2020-09-05 16:20
41,8635,54693,122,3,2020-09-05 16:20
42,7233,81056,2502,4,2020-09-05 16:20
43,6100,54643,1791,4,2020-09-05 16:20
44,8254,23369,3181,1,2020-09-05 16:20
45,5792,15945,1723,2,2020-09-05 16:20
46,7727,36767,4649,1,2020-09-05 16:20
47,8878,83338,1903,5,2020-09-05 16:20
48,8850,53294,1827,3,2020-09-05 16:20
49,7158,58677,2557,3,2020-09-05 16:20
50,7100,10473,2084,3,2020-09-05 16:20
51,7332,21152,3331,2,2020-09-05 16:20
52,7896,17777,3911,2,2020-09-05 16:20
53,7467,7788,1729,2,2020-09-05 16:20
54,6055,20323,3955,5,2020-09-05 16:20
55,6294,76743,133,4,2020-09-05 16:20
56,8021,20132,3727,3,2020-09-05 16:20
57,8305,41753,3066,2,2020-09-05 16:20
58,6940,80369,1889,5,2020-09-05 16:21
59,6891,65424,4238,1,2020-09-05 16:21
60,7857,79853,367,2,2020-09-05 16:21
61,5921,50578,2576,3,2020-09-05 16:21
62,6377,45126,79,5,2020-09-05 16:21
63,7593,63401,4700,4,2020-09-05 16:21
64,6412,21868,938,5,2020-09-05 16:21
65,8529,25673,3745,3,2020-09-05 16:21
66,7837,29745,2178,3,2020-09-05 16:21
67,7212,8732,2316,3,2020-09-05 16:21
68,8282,5479,4133,5,2020-09-05 16:21
